PROPERTY TYPE,YEAR BUILT,CONFIRMED UNITS,CURRENT BUILDING EVAL SCORE,LATITUDE,LONGITUDE
PRIVATE,1960,93,83,43.74317239,-79.541078057
PRIVATE,1962,24,83,43.689658208,-79.413490669
PRIVATE,1962,101,83,43.7611222484,-79.3926873718
PRIVATE,1963,96,83,43.707214984,-79.486164406
TCHC,1964,54,83,43.665548195,-79.425655665
PRIVATE,1964,44,83,43.744692136,-79.494559581
PRIVATE,1965,122,83,43.634517342,-79.428882498
PRIVATE,1965,221,83,43.6567631321,-79.4631452755
PRIVATE,1965,129,83,43.6937773713,-79.446160477
PRIVATE,1966,52,83,43.7337528982,-79.3068920324
PRIVATE,1966,90,83,43.7493403661,-79.5494302616
PRIVATE,1967,28,83,43.646159833,-79.473952107
PRIVATE,1970,78,83,43.6676214521,-79.4054920342
PRIVATE,1970,60,83,43.696411866,-79.541932687
PRIVATE,1970,53,83,43.7602548577,-79.5002027299
TCHC,1970,20,83,43.7630131413,-79.2041400469
PRIVATE,1971,11,83,43.7006703636,-79.2528221569
PRIVATE,1971,500,83,43.7072324001,-79.3412260815
TCHC,1973,16,83,43.791143455,-79.368819925
TCHC,1978,174,83,43.657174343,-79.370798412
TCHC,1987,105,83,43.714039592,-79.39939307
SOCIAL HOUSING,1989,24,83,43.662679383,-79.421476232
SOCIAL HOUSING,1992,41,83,43.6876986854,-79.3490675447
SOCIAL HOUSING,1993,166,83,43.747070571,-79.562597925
TCHC,2006,54,83,43.662770772,-79.35927116
PRIVATE,1920,18,84,43.705449145,-79.40329655
PRIVATE,1930,27,84,43.6367650301,-79.4389483513
PRIVATE,1930,48,84,43.655531643,-79.454594071
PRIVATE,1930,24,84,43.6628515298,-79.4210660752
PRIVATE,1930,17,84,43.7009995731,-79.4241109809
PRIVATE,1932,24,84,43.6851006268,-79.4195107328
PRIVATE,1935,13,84,43.647552675,-79.489042942
PRIVATE,1950,12,84,43.7112636498,-79.4790421102
PRIVATE,1950,10,84,43.7198292201,-79.5150038908
PRIVATE,1951,12,84,43.7115823084,-79.307772958
PRIVATE,1954,30,84,43.6380615683,-79.4937696446
PRIVATE,1954,22,84,43.6383246227,-79.4863398937
PRIVATE,1954,11,84,43.7434226552,-79.4370080631
PRIVATE,1955,46,84,43.6109821847,-79.4903809388
PRIVATE,1955,25,84,43.7303895479,-79.4363698619
PRIVATE,1955,11,84,43.7418342537,-79.4371971572
PRIVATE,1956,11,84,43.732486121,-79.437718612
PRIVATE,1957,41,84,43.726185855,-79.402998395
PRIVATE,1958,18,84,43.5965098168,-79.5007071218
PRIVATE,1958,35,84,43.669364101,-79.407141875
